Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Kenya,1,0.22044061939793436,0.16989903792230693,0.039830660961737256,1.0,0.0,0.0
Kiribati,1,-0.8519258633349461,-0.10038003555147242,-0.0314358816202434,0.0,0.0,0.0
"Korea, Rep.",1,0.5374219397447926,1.3200474253336008,0.2880617603592324,1.0,1.0,1.0
Kuwait,1,0.37467362443412777,-0.29876442457324626,-0.06759732477755226,1.0,0.0,0.0
Kyrgyz Republic,1,0.21655135956818833,0.16410638926861223,0.038507759305352614,1.0,0.0,0.0
Lao PDR,1,-0.14396884355769163,-0.6156743011651679,-0.15781969991063874,0.0,0.0,0.0
Latvia,1,0.28249531562306196,0.9836762962524431,0.22730355609669822,1.0,1.0,1.0
Lebanon,1,-0.33429907408108267,-0.4044818624729178,-0.10900142418232296,0.0,0.0,0.0
Lesotho,1,-0.1595114545000983,-0.7024533911111214,-0.1807846050944582,0.0,0.0,0.0
Liberia,1,-0.646782784587002,-2.3732863605450674,-0.6983724132714354,0.0,0.0,0.0
Liechtenstein,1,-0.4814541163035363,-0.20285648884358504,-0.056923968654266334,0.0,0.0,0.0
Lithuania,1,0.37118768405990893,0.9400840993691799,0.21286781549717074,1.0,1.0,1.0
Luxembourg,1,0.2630293572394943,0.7750430464552555,0.17990273178486693,1.0,1.0,1.0
"Macao SAR, China",1,-0.2742842102315209,1.3641704888847161,0.36177128917843066,0.0,1.0,1.0
Madagascar,1,-0.3303603530646485,-1.0896088946282987,-0.2933209173730156,0.0,0.0,0.0
Malawi,1,-0.44152355922621367,-1.142973775481163,-0.31717819754645105,0.0,0.0,0.0
Malaysia,1,0.20111212870515102,0.3636453913266386,0.08564008311242034,0.0,1.0,1.0
Maldives,1,-0.21801411892981912,-0.20285648884358504,-0.05300556268678309,0.0,0.0,0.0
Mali,1,-0.08628226227306196,-2.1236316818894623,-0.5364316778955066,0.0,0.0,0.0
Malta,1,0.21712215652876593,0.7196845568974647,0.1688522209620248,1.0,1.0,1.0
Marshall Islands,1,-0.5187125057242915,-0.6812810263760196,-0.19319553210891335,0.0,0.0,0.0
Mauritania,1,-0.861600443683592,-1.2860079972628118,-0.40396131838910815,0.0,0.0,0.0
Mauritius,1,-0.17387950093148188,0.5186589050063702,0.13397836526799464,0.0,1.0,1.0
Mexico,1,0.5138837547709875,0.25524888795608225,0.0559881923716479,1.0,1.0,1.0
"Micronesia, Fed. Sts.",1,-0.2580978489755373,-0.35742612481309194,-0.09438250543845562,0.0,0.0,0.0
Moldova,1,0.24546982170269885,0.23238686174721598,0.05416232127978069,1.0,1.0,0.0
Monaco,1,-0.5661073309500477,-0.20285648884358504,-0.05830908399848914,0.0,0.0,0.0
Mongolia,1,0.03608864745956781,0.33163474079234934,0.08125948312110721,0.0,1.0,1.0
Morocco,1,0.03382506144930037,-0.49637369715992785,-0.12169247956419198,0.0,0.0,0.0
Mozambique,1,-0.19156983409998674,-0.8297412386327017,-0.2153201432784755,0.0,0.0,0.0
Myanmar,1,-0.08778783558141554,-0.10859028117641747,-0.027440459269703947,0.0,0.0,0.0
Namibia,1,-0.589838351821984,-0.6315443296383758,-0.18277792156354636,0.0,0.0,0.0
Nauru,1,-0.9750891645693529,-0.7656876370234208,-0.24940931257039453,0.0,0.0,0.0
Nepal,1,-0.1626759074574968,-0.3785629189508313,-0.09750701030135524,0.0,0.0,0.0
Netherlands,1,0.568473688992004,1.1487118596394394,0.24898562140532207,1.0,1.0,1.0
New Zealand,1,0.579725657668631,1.199155300318567,0.25928696769382514,1.0,1.0,1.0
Nicaragua,1,-0.22182311211425415,-0.36747263610377073,-0.09611474258228302,0.0,0.0,0.0
Niger,1,-0.040771953490580964,-2.1090081107857794,-0.5266830242782417,0.0,0.0,0.0
Nigeria,1,-0.32589654802233464,-1.5650227152485179,-0.42079588486203595,0.0,0.0,0.0
North Macedonia,1,-0.6258418280626309,-0.09225289661647741,-0.02698043581786841,0.0,0.0,0.0
Norway,1,0.8096352733287142,1.0706176507589549,0.22053089486362074,1.0,1.0,1.0
Oman,1,0.11767800345186136,0.18315475515891316,0.043998273981904826,0.0,0.0,0.0
Pakistan,1,0.016003664508559973,-1.1004862612307817,-0.2709825087766895,0.0,0.0,0.0
Palau,1,-0.8344319075455875,0.5505832647523262,0.1714859296695802,0.0,1.0,1.0
Panama,1,-0.14651679579957294,-0.5048441760016623,-0.12949448783201345,0.0,0.0,0.0
Papua New Guinea,1,-0.5341006342983814,-0.7073711761274579,-0.20147326711866595,0.0,0.0,0.0
Paraguay,1,0.013368369255035867,-0.37340900001941146,-0.09200752022357024,0.0,0.0,0.0
Peru,1,0.08158513391783778,0.18069347643007191,0.04378666196350215,0.0,0.0,0.0
Philippines,1,0.1953776665943413,-0.4465416438946176,-0.1053047269158504,0.0,0.0,0.0
Poland,1,0.7166629447361873,1.1874337609417587,0.2493688639017574,1.0,1.0,1.0
Portugal,1,0.3157018596240565,1.049921765666088,0.24076383131337706,1.0,1.0,1.0
Qatar,1,-0.14464037537018212,0.22980336713145258,0.0589170970111193,0.0,1.0,1.0
Romania,1,0.39046267013023267,0.2674137742544243,0.06028867005250639,1.0,1.0,1.0
Russian Federation,1,0.8269036397873618,1.0111784077057027,0.20754906188852434,1.0,1.0,1.0
Rwanda,1,4.93802197148361E-4,-1.2397383843423349,-0.3064421388897839,0.0,0.0,0.0
Samoa,1,-0.7524867157696554,-0.41911828267538864,-0.12729072355863633,0.0,0.0,0.0
