INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_outlier,Year,Value,val_std,mu,sd,z
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",JAM,Jamaica,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,Upper middle income,IBRD,false,2022,567.2600708007812,6.342579185058288,6.758659794271764,2.432254157536862,-0.17106789926708937
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",JOR,Jordan,"Government expenditure on primary education, PPP$ (millions)","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,false,2022,1908.120239257813,7.5543978072099325,6.758659794271764,2.432254157536862,0.32716071651986023
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",JPN,Japan,"Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,High income,,false,2017,56667.34219,10.944970994985987,6.758659794271764,2.432254157536862,1.7211651947400473
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",KAZ,Kazakhstan,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,Upper middle income,IBRD,false,2019,102.8015899658203,4.642481288204266,6.758659794271764,2.432254157536862,-0.8700482634637766
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",KEN,Kenya,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Lower middle income,Blend,false,2015,2702.8505859375,7.9024321789562295,6.758659794271764,2.432254157536862,0.47025200106668186
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",KHM,Cambodia,"Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,Lower middle income,IDA,false,2014,450.1391296386719,6.111775783367275,6.758659794271764,2.432254157536862,-0.26596069695265184
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",KIR,Kiribati,"Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,Lower middle income,IDA,false,2001,5.50439977645874,1.872478836601731,6.758659794271764,2.432254157536862,-2.0089105172373336
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",KNA,St. Kitts and Nevis,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,High income,IBRD,false,2021,10.97620964050293,2.4829221520161306,6.758659794271764,2.432254157536862,-1.757932093159895
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",KOR,"Korea, Rep.","Government expenditure on primary education, PPP$ (millions)",East Asia & Pacific,High income,,false,2020,35257.00390625,10.470447843636142,6.758659794271764,2.432254157536862,1.5260691559977833
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",KWT,Kuwait,"Government expenditure on primary education, PPP$ (millions)","Middle East, North Africa, Afghanistan & Pakistan",High income,,false,2014,2834.763427734375,7.950066466589495,6.758659794271764,2.432254157536862,0.48983642134022115
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",LBN,Lebanon,"Government expenditure on primary education, PPP$ (millions)","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,false,1996,514.5794677734375,6.2452914482655935,6.758659794271764,2.432254157536862,-0.2110669003958275
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",LBR,Liberia,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Low income,IDA,false,2021,54.17076110839844,4.010433122882463,6.758659794271764,2.432254157536862,-1.1299093324080995
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",LCA,St. Lucia,"Government expenditure on primary education, PPP$ (millions)",Latin America & Caribbean,Upper middle income,Blend,false,2022,38.93574905395508,3.6872718890221687,6.758659794271764,2.432254157536862,-1.2627742441028376
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",LSO,Lesotho,"Government expenditure on primary education, PPP$ (millions)",Sub-Saharan Africa,Lower middle income,IDA,false,2018,227.5149993896484,5.431601851022963,6.758659794271764,2.432254157536862,-0.5456082536179974
UIS.X.PPP.1.FSGOV,"Government expenditure on primary education, PPP$ (millions)",_T,_T,_T,_Z,UIS.X.PPP.1.FSGOV,PP_CUR,NUMBER,"Government expenditure on primary education, PPP$ (millions)",LUX,Luxembourg,"Government expenditure on primary education, PPP$ (millions)",Europe & Central Asia,High income,,false,2020,880.889892578125,6.782067209867039,6.758659794271764,2.432254157536862,0.009623753966147968
