Indicator name,non_null_values,countries_covered,years_covered
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",2,2,1
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, adjusted gender parity index (household survey data) (GPIA)",2,1,2
"Out-of-school rate for children of primary school age, urban, adjusted gender parity index (household survey data) (GPIA)",2,1,2
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for science, Rural",2,2,1
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science, Rural",2,2,1
"Out-of-school rate for adolescents of lower secondary school age, poorest quintile, female, adjusted location parity index (household survey data) (LPIA)",2,1,2
"Out-of-school rate for adolescents of lower secondary school age, richest quintile, adjusted gender parity index (household survey data) (GPIA)",2,1,2
"Out-of-school rate for adolescents of lower secondary school age, rural, female (household survey data) (%)",2,1,2
"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)",2,1,2
"Out-of-school rate for adolescents of lower secondary school age, rural, male, adjusted wealth parity index (household survey data) (WPIA)",2,1,2
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for reading, Male",2,2,1
"Out-of-school rate for children of primary school age, primary education, rural, middle quintile, adjusted gender parity index (household survey data) (GPIA)",2,1,2
"Out-of-school rate for children of primary school age, primary education, urban, richest quintile, adjusted gender parity index (household survey data) (GPIA)",2,2,2
"Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Male",2,2,1
"Learning Deprivation Gap;TIMSS 2011 for grade 4 using MPL Low (400 points) for science, Urban",2,2,1
"Out-of-school rate for children of primary school age, rural, male (household survey data) (%)",2,1,2
"Out-of-school rate for children of primary school age, rural, second quintile, female (household survey data) (%)",2,1,2
"Out-of-school rate for children of primary school age, rural, second quintile, male (household survey data) (%)",2,1,2
"Out-of-school rate for adolescents of lower secondary school age, urban, second quintile, female (household survey data) (%)",2,2,2
"Out-of-school rate for children of primary school age, adjusted gender parity index (household survey data) (GPIA)",2,1,2
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Fifth Quintile",2,2,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Third Quintile",2,2,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Urban",2,2,1
"Repetition rate in lower secondary general education (all grades), both sexes (%)",2,1,2
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for science, Second Quintile",2,2,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fifth Quintile",2,2,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Female",2,2,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Second Quintile",2,2,1
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for reading, Female",2,2,1
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for reading, Third Quintile",2,2,1
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, Male",2,2,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Male",2,2,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Third Quintile",2,2,1
"Initial household funding per secondary student, constant PPP$",2,1,2
"Learning Deprivation Gap;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Third Quintile",2,2,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Fifth Quintile",2,2,1
"Learning Deprivation Gap;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Female",2,2,1
LPSEV = SD: ANER; LD: PIRLS 2016 for grade 4 using MPL Low (400 points) for reading; Female,2,1,2
Current expenditure other than staff compensation as a percentage of total expenditure in upper secondary public institutions (%),2,1,2
"Educational attainment rate, completed lower secondary education or higher, population 25+ years, male (%)",2,1,2
"Completion rate, upper secondary education, rural, richest quintile, both sexes (%)",2,1,2
"Completion rate, upper secondary education, urban, middle quintile, female (%)",2,1,2
"Inbound internationally mobile students from Oceania, both sexes (number)",2,1,2
"Inbound internationally mobile students from South America, both sexes (number)",2,1,2
"Europe: Students from Ireland, both sexes (number)",2,1,2
"Europe: Students from Liechtenstein, both sexes (number)",2,1,2
LDSEV: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading;,2,1,2
LP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,2,1,2
LPSEV = SD: ANER; LD: LLECES 2013 for grade 6 using MPL III (SERCE scale) for reading;,2,1,2
"Caribbean and Central America: Students from unknown countries, both sexes (number)",2,1,2
"Completion rate, lower secondary education, fourth quintile, both sexes (%)",2,1,2
"Completion rate, lower secondary education, middle quintile, adjusted location parity index (LPIA)",2,1,2
"Completion rate, lower secondary education, middle quintile, female (%)",2,1,2
"Completion rate, lower secondary education, richest quintile, adjusted location parity index (LPIA)",2,2,2
"Asia: Students from the United Arab Emirates, both sexes (number)",2,1,2
"Teacher attrition rate from upper secondary education, male (%)",2,1,2
"Completion rate, lower secondary education, rural, richest quintile, adjusted gender parity index (GPIA)",2,1,2
"Completion rate, lower secondary education, rural, richest quintile, both sexes (%)",2,1,2
"Completion rate, primary education, poorest quintile, adjusted gender parity index (GPIA)",2,1,2
"Teacher attrition rate from upper secondary education, both sexes (%)",2,1,2
"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)",2,1,2
"Completion rate, primary education, urban, fourth quintile, adjusted gender parity index (GPIA)",2,1,2
"Above Proficiency;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, First Quintile",2,2,1
"Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, male (%)",2,1,2
"Adjusted net attendance rate, one year before the official primary entry age, urban, female, adjusted wealth parity index (WPIA)",2,1,2
"Total net attendance rate, lower secondary education, fourth quintile, adjusted gender parity index (GPIA)",2,2,2
"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, male, adjusted location parity index (LPIA)",2,1,2
"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted gender parity index (GPIA)",2,1,2
"Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male, adjusted location parity index (LPIA)",2,1,2
"Adjusted net attendance rate, one year before the official primary entry age, rural, female, adjusted wealth parity index (WPIA)",2,1,2
"Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, adjusted gender parity index (GPIA)",2,1,2
"Adjusted net attendance rate, one year before the official primary entry age, urban, poorest quintile, male (%)",2,1,2
"Total net attendance rate, lower secondary, rural, second quintile, female (%)",2,1,2
"Total net attendance rate, lower secondary, urban, middle quintile, female (%)",2,1,2
"Total net attendance rate, primary education, adjusted gender parity index (GPIA)",2,1,2
"Total net attendance rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)",2,1,2
"Total net attendance rate, lower secondary, both sexes (%)",2,1,2
"Total net attendance rate, lower secondary, richest quintile, male (%)",2,1,2
"Total net attendance rate, lower secondary, rural, poorest quintile, both sexes (%)",2,1,2
"Total net attendance rate, lower secondary education, fourth quintile, adjusted location parity index (LPIA)",2,2,2
"Total net attendance rate, lower secondary education, richest quintile, male, adjusted location parity index (LPIA)",2,1,2
Above Proficiency;TIMSS 2015 for grade 8 using MPL Low (400 points) for science,2,2,1
"Above Proficiency;TIMSS 2019 for grade 4 using MPL Low (400 points) for math, Urban",2,2,1
Above Proficiency;TIMSS 2019 for grade 8 using MPL Low (400 points) for science,2,2,1
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Female",2,2,1
"Above Proficiency;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Male",2,2,1
"Youth illiterate population, 15-24 years, both sexes (number)",2,1,2
"Out-of-school rate for adolescents of lower secondary school age, urban, poorest quintile, female (household survey data) (%)",2,1,2
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for science, Female",2,2,1
"Total net attendance rate, primary, urban, fourth quintile, male (%)",2,1,2
"Total net attendance rate, upper secondary education, fourth quintile, adjusted gender parity index (GPIA)",2,1,2
"Above Proficiency;PISA 2018 for grade 15Y using MPL Level 2 for math, Urban",2,2,1
"Above Proficiency;PISA 2000 for grade 15Y using MPL Level 2 for science, Urban",2,2,1
"Total net attendance rate, upper secondary, urban, fourth quintile, both sexes (%)",2,1,2
"Total net attendance rate, upper secondary, urban, fourth quintile, female (%)",2,1,2
"Total net attendance rate, upper secondary, urban, male  (%)",2,1,2
"Total net attendance rate, upper secondary, urban, middle quintile, male (%)",2,1,2
"Total net attendance rate, upper secondary, urban, poorest quintile, both sexes (%)",2,1,2
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for science, Male",2,2,1
"Total net attendance rate, upper secondary, richest quintile, male (%)",2,1,2
"Total net attendance rate, upper secondary, rural, both sexes (%)",2,1,2
"Total net attendance rate, upper secondary, rural, male  (%)",2,1,2
"Total net attendance rate, upper secondary, rural, poorest quintile, both sexes (%)",2,1,2
"Total net attendance rate, upper secondary, rural, poorest quintile, female (%)",2,1,2
"Total net attendance rate, upper secondary, second quintile, both sexes (%)",2,1,2
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for math, Female",2,2,1
"Above Proficiency;PISA 2006 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",2,2,1
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",1,1,1
Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for science,1,1,1
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for science, Third Quintile",1,1,1
"Learning Deprivation Severity;SACMEQ 2000 for grade 6 using MPL Level 5 for reading, Fourth Quintile",1,1,1
"Learning Deprivation Severity;SACMEQ 2000 for grade 6 using MPL Level 5 for reading, Third Quintile",1,1,1
Learning Deprivation Severity;SACMEQ 2007 for grade 6 using MPL Level 5 for reading,1,1,1
"Learning Deprivation Severity;SACMEQ 2007 for grade 6 using MPL Level 5 for reading, Second Quintile",1,1,1
"Out-of-school rate for youth of upper secondary school age, urban, middle quintile, adjusted gender parity index (household survey data) (GPIA)",1,1,1
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Urban",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for science, Fifth Quintile",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for science, Rural",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for science, Second Quintile",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for science, Third Quintile",1,1,1
Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for math,1,1,1
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for math, Male",1,1,1
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for reading, Rural",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Rural",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Second Quintile",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Urban",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Rural",1,1,1
Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for science,1,1,1
"Percentage of children under 5 years experiencing positive and stimulating home learning environments, adjusted location parity index (LPIA)",1,1,1
"Percentage of children under 5 years experiencing positive and stimulating home learning environments, both sexes (%)",1,1,1
"Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, First Quintile",1,1,1
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Fourth Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2007 for grade 8 using MPL Low (400 points) for science, Female",1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, Female",1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, First Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, Third Quintile",1,1,1
"Learning Deprivation Severity;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, Urban",1,1,1
"Out-of-school rate for youth of upper secondary school age, urban, poorest quintile, female (household survey data) (%)",1,1,1
"Out-of-school rate for youth of upper secondary school age, urban, second quintile, male (household survey data) (%)",1,1,1
"Percentage of children under 5 years experiencing positive and stimulating home learning environments,  adjusted wealth parity index (WPIA)",1,1,1
"Learning Deprivation Severity;PASEC 2014 for grade 6 using MPL 4 for reading, Urban",1,1,1
"Learning Deprivation Severity;PASEC 2019 for grade 2 using MPL 4 for math, Rural",1,1,1
"Learning Deprivation Severity;PASEC 2019 for grade 6 using MPL 4 for reading, Third Quintile",1,1,1
"Learning Deprivation Severity;PIRLS 2006 for grade 4 using MPL Low (400 points) for reading, Female",1,1,1
"Learning Deprivation Severity;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Fourth Quintile",1,1,1
"Learning Deprivation Severity;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Rural",1,1,1
"Learning Deprivation Severity;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Second Quintile",1,1,1
"Learning Deprivation Severity;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Female",1,1,1
Population Age primary for Reference Year 2019; Male,1,1,1
"Learning Deprivation Gap;TIMSS 2019 for grade 4 using MPL Low (400 points) for science, Fourth Quintile",1,1,1
Learning Deprivation Gap;TIMSS 2019 for grade 5 using MPL Low (400 points) for math,1,1,1
Learning Deprivation Gap;TIMSS 2019 for grade 8 using MPL Low (400 points) for science,1,1,1
"Learning Deprivation Gap;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Fifth Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Fourth Quintile",1,1,1
"Learning Deprivation Severity;LLECES 2006 for grade 6 using MPL Level 3 for reading, Fifth Quintile",1,1,1
"Learning Deprivation Severity;PASEC 2014 for grade 6 using MPL 4 for math, Third Quintile",1,1,1
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for science, Fifth Quintile",1,1,1
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for science, First Quintile",1,1,1
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Female",1,1,1
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Third Quintile",1,1,1
"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",1,1,1
"Percentage of qualified teachers in secondary education, female (%)",1,1,1
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for reading, Third Quintile",1,1,1
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for science, Female",1,1,1
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for science, First Quintile",1,1,1
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for math, Male",1,1,1
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for reading, Female",1,1,1
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for reading, Second Quintile",1,1,1
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for science, Female",1,1,1
"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in mathematics, very affluent socioeconomic background, both sexes (%)",1,1,1
"Proportion of youth and adults who have connected and installed new devices, female (%)",1,1,1
"Proportion of youth and adults who have connected and installed new devices, male (%)",1,1,1
"Learning Deprivation Gap;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Third Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2007 for grade 4 using MPL Low (400 points) for math, Male",1,1,1
Learning Deprivation Gap;TIMSS 2007 for grade 4 using MPL Low (400 points) for science,1,1,1
"Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, both sexes (%)",1,1,1
"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, high socio-economic status (%)",1,1,1
"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, low socio-economic status (%)",1,1,1
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, spoke the language of the test at home, both sexes (%)",1,1,1
"Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading, male (%)",1,1,1
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for math, Female",1,1,1
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for math, First Quintile",1,1,1
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for math, Third Quintile",1,1,1
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for math, Urban",1,1,1
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading, Third Quintile",1,1,1
Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for science,1,1,1
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for science, Fifth Quintile",1,1,1
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for science, Urban",1,1,1
"Learning Deprivation Severity;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Fifth Quintile",1,1,1
"Learning Deprivation Severity;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, First Quintile",1,1,1
"Learning Deprivation Severity;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Male",1,1,1
Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math,1,1,1
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math, Third Quintile",1,1,1
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math, Urban",1,1,1
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Urban",1,1,1
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for science, Female",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 8 using MPL Low (400 points) for science, Second Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2019 for grade 4 using MPL Low (400 points) for math, Urban",1,1,1
Learning Deprivation Gap;TIMSS 2019 for grade 4 using MPL Low (400 points) for science,1,1,1
"Learning Deprivation Gap;TIMSS 2019 for grade 4 using MPL Low (400 points) for science, Female",1,1,1
"Proportion of youth and adults who have created electronic presentations with presentation software, male (%)",1,1,1
Pupil-qualified teacher ratio in primary education (headcount basis),1,1,1
"Repeaters in Grade 2 of lower secondary general education, male (number)",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Second Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 4 using MPL Low (400 points) for science, Female",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 5 using MPL Low (400 points) for math, Rural",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 8 using MPL Low (400 points) for math, Rural",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 8 using MPL Low (400 points) for science, Female",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 8 using MPL Low (400 points) for science, First Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, First Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, Urban",1,1,1
"Learning Deprivation Gap;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Male",1,1,1
"Learning Deprivation Gap;TIMSS 2011 for grade 8 using MPL Low (400 points) for math, Urban",1,1,1
Learning Deprivation Gap;TIMSS 2011 for grade 9 using MPL Low (400 points) for math,1,1,1
"Learning Deprivation Gap;TIMSS 2011 for grade 9 using MPL Low (400 points) for science, Urban",1,1,1
"Learning Deprivation Gap;TIMSS 2015 for grade 4 using MPL Low (400 points) for math, Female",1,1,1
"Learning Deprivation Gap;TIMSS 2007 for grade 4 using MPL Low (400 points) for science, Male",1,1,1
Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for math,1,1,1
"Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, First Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Male",1,1,1
"Learning Deprivation Gap;TIMSS 2007 for grade 8 using MPL Low (400 points) for math, Second Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2011 for grade 4 using MPL Low (400 points) for math, Female",1,1,1
"Learning Deprivation Gap;SACMEQ 2000 for grade 6 using MPL Level 5 for reading, Urban",1,1,1
"Learning Deprivation Gap;SEA-PLM 2019 for grade 5 using MPL Level 6 for reading, Rural",1,1,1
Learning Deprivation Gap;TIMSS 2003 for grade 4 using MPL Low (400 points) for math,1,1,1
"Learning Deprivation Gap;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Fifth Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2003 for grade 8 using MPL Low (400 points) for math, Fourth Quintile",1,1,1
"Learning Deprivation Gap;TIMSS 2003 for grade 8 using MPL Low (400 points) for science, Rural",1,1,1
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math, Male",1,1,1
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Rural",1,1,1
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Male",1,1,1
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Rural",1,1,1
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Urban",1,1,1
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for reading, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for reading, Urban",1,1,1
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science, Fifth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science, Urban",1,1,1
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading, Urban",1,1,1
Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science,1,1,1
"Above Proficiency;PIRLS 2001 for grade 4 using MPL Low (400 points) for reading, Male",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Fourth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Male",1,1,1
"Above Proficiency;PIRLS 2001 for grade 4 using MPL Low (400 points) for reading, Urban",1,1,1
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Rural",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fourth Quintile",1,1,1
"Above Proficiency;PIRLS 2006 for grade 4 using MPL Low (400 points) for reading, Fourth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading, Female",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading, Male",1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading, Third Quintile",1,1,1
"Above Proficiency;PIRLS 2006 for grade 4 using MPL Low (400 points) for reading, Second Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for science, Female",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for science, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for science, Fourth Quintile",1,1,1
"Above Proficiency;PIRLS 2011 for grade 4 using MPL Low (400 points) for reading, Rural",1,1,1
Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math,1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Female",1,1,1
Above Proficiency;PIRLS 2011 for grade 6 using MPL Low (400 points) for reading,1,1,1
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Rural",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Second Quintile",1,1,1
"Above Proficiency;PIRLS 2016 for grade 3 using MPL Low (400 points) for reading, Rural",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fifth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",1,1,1
"Above Proficiency;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Urban",1,1,1
"Above Proficiency;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Male",1,1,1
"Above Proficiency;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Urban",1,1,1
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, First Quintile",1,1,1
"Above Proficiency;PIRLS 2016 for grade 5 using MPL Low (400 points) for reading, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, Rural",1,1,1
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, Second Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, First Quintile",1,1,1
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Fourth Quintile",1,1,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for reading, Second Quintile",1,1,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for reading, Urban",1,1,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Female",1,1,1
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Fifth Quintile",1,1,1
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for science, Male",1,1,1
"Above Proficiency;PISA 2012 for grade 15Y using MPL Level 2 for science, Second Quintile",1,1,1
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Female",1,1,1
"Above Proficiency;PISA 2015 for grade 15Y using MPL Level 2 for math, Fourth Quintile",1,1,1
"Learning Deprivation Gap;PIRLS 2016 for grade 4 using MPL Low (400 points) for reading, Rural",1,1,1
