Indicator name,non_null_values,countries_covered,years_covered
"Gross enrolment ratio, secondary, male (%)",30,1,30
"South America: Students from Argentina, both sexes (number)",30,2,22
Initial household funding per primary student as a percentage of GDP per capita,30,3,22
"Survival rate to Grade 5 of primary education, both sexes (%)",30,1,30
"Africa: Students from Uganda, both sexes (number)",30,2,25
"Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",30,4,21
"North America: Students from Canada, both sexes (number)",30,2,23
"Repeaters in Grade 3 of primary education, both sexes (number)",30,2,29
Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),30,3,10
"Africa: Students from Sao Tome and Principe, both sexes (number)",30,2,22
Administration of a nationally-representative learning assessment at the end of primary in reading (number),30,3,10
Share of all students in lower secondary education enrolled in vocational programmes (%),29,2,22
"Caribbean and Central America: Students from Jamaica, both sexes (number)",29,2,24
"Completion rate, upper secondary education, rural, richest quintile, male (%)",29,2,23
"Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)",29,2,19
"Gross enrolment ratio, primary and secondary, female (%)",29,2,29
Current expenditure other than staff compensation as a percentage of total expenditure in pre-primary public institutions (%),29,2,25
"Inbound internationally mobile students from Latin America and the Caribbean, both sexes (number)",29,3,23
"Proportion of 15- to 24-year-olds enrolled in vocational education, male (%)",29,2,21
"Europe: Students from Norway, both sexes (number)",29,3,24
"Completion rate, primary education, urban, second quintile, female (%)",29,2,23
"School life expectancy, secondary, male (years)",29,1,29
"Oceania: Students from the Federated States of Micronesia, both sexes (number)",29,3,19
"Enrolment in secondary education, female (number)",29,1,29
"Asia: Students from Oman, both sexes (number)",28,3,21
"Asia: Students from Thailand, both sexes (number)",28,2,22
"Repetition rate in Grade 6 of primary education, female (%)",28,2,28
"Completion rate, upper secondary education, rural, fourth quintile, female (%)",28,2,23
Initial government funding per lower secondary student as a percentage of GDP per capita,28,2,23
"Inbound mobility rate, female (%)",28,3,22
"Percentage of graduates from tertiary education graduating from Education programmes, both sexes (%)",28,2,21
"Government expenditure on education, PPP$ (millions)",27,1,27
"Completion rate, lower secondary education, rural, both sexes (%)",27,2,19
"Completion rate, lower secondary education, second quintile, both sexes (%)",27,4,22
Government expenditure on tertiary education as a percentage of GDP (%),27,2,27
"Africa: Students from South Sudan, both sexes (number)",27,5,11
End month of the academic school year (pre-primary to post-secondary non-tertiary education),27,1,27
All staff compensation as a percentage of total expenditure in upper secondary public institutions (%),27,3,18
"Out-of-school rate for youth of upper secondary school age, second quintile, both sexes (household survey data) (%)",27,3,21
"Completion rate, lower secondary education, urban, middle quintile, male (%)",27,3,23
"Percentage of graduates from tertiary education graduating from Social Sciences, Journalism and Information programmes, both sexes (%)",27,3,20
"Gross enrolment ratio, secondary, both sexes (%)",27,1,27
"Gross enrolment ratio, primary and lower secondary, both sexes (%)",27,1,27
"Completion rate, upper secondary education, middle quintile, adjusted location parity index (LPIA)",27,2,20
"Repetition rate in Grade 5 of primary education, both sexes (%)",26,1,26
"School age population, early childhood education, female (number)",26,1,26
"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",26,2,23
"Asia: Students from the Democratic People's Republic of Korea, both sexes (number)",26,2,24
"Repetition rate in Grade 1 of lower secondary general education, male (%)",26,2,25
"Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)",26,3,20
"Outbound mobility ratio, all regions, both sexes (%)",26,2,20
"Completion rate, upper secondary education, richest quintile, male (%)",26,2,23
"Survival rate to Grade 5 of primary education, female (%)",26,1,26
"Outbound mobility ratio to South and West Asia, both sexes (%)",26,2,20
"School age population, tertiary education, female (number)",26,1,26
"Repeaters in Grade 3 of primary education, female (number)",26,1,26
Number of years of compulsory pre-primary education guaranteed in legal frameworks,26,1,26
"Oceania: Students from Kiribati, both sexes (number)",26,2,24
"Out-of-school rate for children of primary school age, urban, adjusted wealth parity index (household survey data) (WPIA)",26,2,23
"Europe: Students from Bosnia and Herzegovina, both sexes (number)",26,2,24
"Gross enrolment ratio, upper secondary, male (%)",26,1,26
"Government expenditure on primary education, US$ (millions)",26,1,26
"Gross enrolment ratio, primary to tertiary, female (%)",26,1,26
"Oceania: Students from unknown countries, both sexes (number)",25,2,24
Official entrance age to early childhood education (years),25,1,25
"Completion rate, lower secondary education, rural, middle quintile, both sexes (%)",25,2,23
"Repeaters in grade unknown of primary education, female (number)",25,1,25
"School life expectancy, primary and secondary, both sexes (years)",25,1,25
"School life expectancy, tertiary, both sexes (years)",25,1,25
"School life expectancy, primary and secondary, female (years)",25,1,25
Percentage of teachers in post-secondary non-tertiary education who are female (%),25,2,19
"Completion rate, upper secondary education, fourth quintile, male (%)",25,2,23
End of the academic school year (tertiary education),25,1,25
"Total net attendance rate, primary, rural, female (%)",25,2,21
"Enrolment in early childhood education, both sexes (number)",25,1,25
"Out-of-school children, one year before than official primary entry age, female (number)",25,1,25
"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, both sexes (%)",25,2,21
"Completion rate, upper secondary education, urban, male (%)",24,3,20
"Europe: Students from the Netherlands, both sexes (number)",24,1,24
"Europe: Students from Switzerland, both sexes (number)",24,1,24
"Africa: Students from Mauritius, both sexes (number)",24,2,21
"Asia: Students from Georgia, both sexes (number)",24,2,23
"Africa: Students from Rwanda, both sexes (number)",24,2,21
"Enrolment in pre-primary education, female (number)",24,1,24
"Asia: Students from Lebanon, both sexes (number)",24,1,24
"Europe: Students from Hungary, both sexes (number)",24,1,24
"Total net attendance rate, lower secondary, adjusted location parity index (LPIA)",24,2,21
"Enrolment in tertiary education, ISCED 5 programmes, female (number)",24,1,24
