economy,Country name,Indicator name,UNIT_MEASURE,UNIT_TYPE,Year,Value
MLI,Mali,"Repeaters in grade unknown of lower secondary general education, both sexes (number)",SHARE,NUMBER,1977,0.0
BGR,Bulgaria,"School life expectancy, primary, female (years)",SHARE,NUMBER,1977,3.663980007171631
GRC,Greece,"School life expectancy, primary, female (years)",SHARE,NUMBER,1977,6.307630062103271
IRQ,Iraq,"School life expectancy, primary, female (years)",SHARE,NUMBER,1977,3.99741005897522
MDG,Madagascar,"School life expectancy, primary, female (years)",SHARE,NUMBER,1977,5.078929901123047
BTN,Bhutan,"School age population, secondary education, female (number)",,,1977,18399.0
BTN,Bhutan,"School age population, tertiary education, male (number)",,,1977,16179.0
BIH,Bosnia and Herzegovina,"School age population, secondary education, female (number)",,,1977,353018.0
BWA,Botswana,"School age population, upper secondary education, both sexes (number)",,,1977,54629.0
CMR,Cameroon,"School age population, last grade of primary education, female (number)",,,1977,94691.0
CAF,Central African Republic,"School age population, primary education, both sexes (number)",,,1977,379944.0
CHN,China,"School age population, lower secondary education, both sexes (number)",,,1977,75894248.0
DMA,Dominica,"School age population, tertiary education, male (number)",,,1977,3982.0
EGY,"Egypt, Arab Rep","School age population, secondary education, female (number)",,,1977,2620191.0
FIN,Finland,"School age population, secondary education, female (number)",,,1977,227001.0
DEU,Germany,"School age population, lower secondary education, both sexes (number)",,,1977,7865690.0
GIN,Guinea,"School age population, last grade of primary education, female (number)",,,1977,53482.0
GNB,Guinea-Bissau,"School age population, last grade of primary education, female (number)",,,1977,8257.0
LBY,Libya,"School age population, secondary education, female (number)",,,1977,175510.0
LTU,Lithuania,"School age population, primary education, both sexes (number)",,,1977,219643.0
NZL,New Zealand,"School age population, primary education, both sexes (number)",,,1977,375895.0
NZL,New Zealand,"School age population, upper secondary education, both sexes (number)",,,1977,191191.0
OMN,Oman,"School age population, tertiary education, male (number)",,,1977,37458.0
PRT,Portugal,"School age population, lower secondary education, both sexes (number)",,,1977,515139.0
SOM,Somalia,"School age population, last grade of primary education, female (number)",,,1977,54303.0
ZAF,South Africa,"School age population, upper secondary education, both sexes (number)",,,1977,1091164.0
GUM,Guam,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1978,0.0
MOZ,Mozambique,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1978,0.0
NZL,New Zealand,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1978,0.0
WSM,Samoa,"Repeaters in Grade 5 of lower secondary general education, female (number)",SHARE,NUMBER,1978,0.0
