economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency,EII_band,OUTCOME_band,Efficiency_band,EII_high,OUTCOME_high,Efficiency_high
ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,0.3486176137198266,110,0.04609121421043428,7,4.393710977941144,0.010490269943070365,2.0,1.0,1.0,1,0,0
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,IBRD,-0.540370710782282,87,0.04174960440024989,7,3.5047226534390354,0.011912384667380963,0.0,1.0,1.0,0,0,0
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,IBRD,-0.5197507757586545,79,0.064130204971721,7,3.5253425884626632,0.018191197979339366,0.0,1.0,1.0,0,0,0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,0.04267184454274206,110,0.08069528730302032,7,4.0877652087640595,0.019740685480176743,1.0,1.0,1.0,0,0,0
SLV,El Salvador,Latin America & Caribbean,Upper middle income,IBRD,-0.0552962052725016,110,0.11209770495464741,7,3.989797158948816,0.028096091226898753,1.0,1.0,1.0,0,0,0
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Blend,-0.6136205065478386,110,0.12039889614871635,7,3.431472857673479,0.03508665262482833,0.0,1.0,1.0,0,0,0
COL,Colombia,Latin America & Caribbean,Upper middle income,IBRD,0.18117076350347083,110,0.1524202506345127,7,4.2262641277247885,0.03606500825034052,1.0,1.0,1.0,0,0,0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,0.21655135956818833,55,0.16410638926861223,7,4.261644723789506,0.038507759305352614,2.0,1.0,1.0,1,0,0
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Blend,0.22044061939793436,110,0.16989903792230693,5,4.265533983619251,0.039830660961737256,2.0,1.0,1.0,1,0,0
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,0.34299545469607406,110,0.17809118689214093,7,4.388088818917391,0.04058513722976071,2.0,1.0,1.0,1,0,0
ECU,Ecuador,Latin America & Caribbean,Upper middle income,IBRD,-0.018849423214863388,110,0.16928943900368562,7,4.026243941006454,0.042046493328312284,1.0,1.0,1.0,0,0,0
PER,Peru,Latin America & Caribbean,Upper middle income,IBRD,0.08158513391783778,110,0.18069347643007191,6,4.126678498139155,0.04378666196350215,1.0,1.0,1.0,0,0,0
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,,0.11767800345186136,105,0.18315475515891316,7,4.162771367673178,0.043998273981904826,1.0,1.0,1.0,0,0,0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,-0.005107858532800595,96,0.20457102752942555,7,4.0399855056885166,0.050636574621710534,1.0,1.0,1.0,0,0,0
