Indicator name,non_null_values
"Africa: Students from Djibouti, both sexes (number)",18
"Completion rate, lower secondary education, poorest quintile, adjusted location parity index (LPIA)",18
"Africa: Students from Comoros, both sexes (number)",18
"Total net enrolment rate, primary, male (%)",18
"Gross enrolment ratio, primary, male (%)",18
"Out-of-school rate for children of primary school age, urban, both sexes (household survey data) (%)",18
"School life expectancy, post-secondary non-tertiary, female (years)",18
"Out-of-school adolescents of lower secondary school age, both sexes (number)",18
"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)",18
"Inbound internationally mobile students from Central Asia, both sexes (number)",18
"Completion rate, primary education, urban, male, adjusted wealth parity index (WPIA)",18
"Completion rate, primary education, urban, male (%)",18
"Repetition rate in Grade 2 of lower secondary general education, both sexes (%)",18
"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",18
"Teachers in tertiary education ISCED 6, 7 and 8 programmes, female (number)",17
"Europe: Students from Gibraltar, both sexes (number)",17
Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%),17
"Enrolment in post-secondary non-tertiary education, female (number)",17
"Asia: Students from Indonesia, both sexes (number)",17
"Government expenditure on upper secondary education, constant PPP$ (millions)",17
Percentage of enrolment in secondary education in private institutions (%),17
"Literacy rate, population 25-64 years, female (%)",17
Non-teaching staff compensation as a percentage of total expenditure in secondary public institutions (%),17
"Teachers in tertiary education ISCED 5 programmes, male (number)",17
"Percentage of graduates from tertiary education graduating from Business, Administration and Law  programmes, both sexes (%)",17
"Percentage of graduates from tertiary education graduating from programmes in unspecified fields, both sexes (%)",17
"Oceania: Students from Australia, both sexes (number)",17
"Educational attainment rate, completed primary education or higher, population 25+ years, male (%)",16
"Completion rate, lower secondary education, rural, male (%)",16
Percentage of enrolment in upper secondary education in private institutions (%),16
"Completion rate, lower secondary education, urban, female (%)",16
"Government expenditure on pre-primary education, constant US$ (millions)",16
"Africa: Students from Ghana, both sexes (number)",16
"Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)",16
"Gross attendance ratio for tertiary education, male (%)",16
"Gross attendance ratio for tertiary education, both sexes (%)",16
"Teachers in early childhood educational development programmes, female (number)",16
"Teachers in lower secondary education, both sexes (number)",16
"Gross enrolment ratio, post-secondary non-tertiary, female (%)",16
"Oceania: Students from Nauru, both sexes (number)",16
"Inbound mobility rate, both sexes (%)",16
"Inbound internationally mobile students from North America, both sexes (number)",16
"Completion rate, upper secondary education, rural, female (%)",16
"Teachers in tertiary education ISCED 5 programmes, female (number)",15
"Repeaters in Grade 1 of lower secondary general education, male (number)",15
"Europe: Students from Albania, both sexes (number)",15
Current expenditure other than staff compensation as a percentage of total expenditure in public institutions (%),15
"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, both sexes (%)",15
Pupil-trained teacher ratio in lower secondary education (headcount basis),15
"Proportion of teachers with the minimum required qualifications in secondary education, female (%)",15
Pupil-qualified teacher ratio in pre-primary education (headcount basis),15
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, both sexes (%)",15
Harmonized Test Scores,15
