Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
Kenya,1,0.22044061939793438,0.3337991731929671,0.07825495576282873,1.0,1.0,1.0
Kiribati,1,-0.8519258633349468,-0.27697094192848715,-0.08673861983488329,0.0,0.0,0.0
"Korea, Rep.",1,0.5374219397447926,0.8003336809965432,0.17464942895092234,1.0,1.0,1.0
Kuwait,1,0.35429243953812406,0.24935442033778088,0.056679371044180346,1.0,1.0,1.0
Kyrgyz Republic,1,0.10631313964661677,-0.2760195479108844,-0.0664882004818638,0.0,0.0,0.0
Lao PDR,1,-0.1439688435576916,0.28732275610934294,0.07365126506150749,0.0,1.0,1.0
Latvia,1,0.2849748779296321,0.014000915829670781,0.0032334168993872177,1.0,0.0,0.0
Lebanon,1,-0.2295659187354441,-0.21633010175547332,-0.0566972993501625,0.0,0.0,0.0
Lesotho,1,-0.15951145450009843,0.07788505074321553,0.02004462974988568,0.0,0.0,0.0
Liberia,1,-0.6467827845870022,0.012464509041923167,0.0036678545853405927,0.0,0.0,0.0
Libya,1,-0.2362922241234964,0.16658139169297437,0.043735912053601236,0.0,1.0,1.0
Liechtenstein,1,-0.5138488983262335,0.20539278922315538,0.058164420845639025,0.0,1.0,1.0
Lithuania,1,0.35684585186411794,-0.1148250341932719,-0.026085102168989908,1.0,0.0,0.0
Luxembourg,1,0.25391867333128654,-0.0060247759152416225,-0.0014014326693235978,1.0,0.0,0.0
"Macao SAR, China",1,-0.2440637722747679,0.8733065943883214,0.22975527373915855,0.0,1.0,1.0
Madagascar,1,-0.3303603530646486,0.1266083742373495,0.03408276553310814,0.0,1.0,1.0
Malawi,1,-0.39078205473628086,0.029735293212647132,0.008137044355106524,0.0,0.0,0.0
Malaysia,1,0.20111212870515102,-0.23389495581061948,-0.055083286995943295,1.0,0.0,0.0
Maldives,1,-0.21801411892981917,-0.3179273796143974,-0.08307311117363127,0.0,0.0,0.0
Mali,1,-0.10377041703957104,-0.12166566149735103,-0.030869244446042776,0.0,0.0,0.0
Malta,1,0.23494730744165257,-0.007483774555538007,-0.0017485288411126848,1.0,0.0,0.0
Marshall Islands,1,-0.5194693406914179,-0.1268185152619896,-0.035970515975500224,0.0,0.0,0.0
Mauritania,1,-0.8616004436835921,-0.04737372287397801,-0.01488105174299433,0.0,0.0,0.0
Mauritius,1,-0.17387950093148205,-0.09716601387974609,-0.025099624384268063,0.0,0.0,0.0
Mexico,1,0.49906187884569364,-0.048329484717062346,-0.0106355267661241,1.0,0.0,0.0
"Micronesia, Fed. Sts.",1,-0.2580978489755376,-0.38071858409079273,-0.10053314891926506,0.0,0.0,0.0
Moldova,1,0.24546982170269893,-0.19912308182707184,-0.046409544201640444,1.0,0.0,0.0
Monaco,1,-0.5941949603387642,-0.05149587869967783,-0.014922455741305112,0.0,0.0,0.0
Mongolia,1,-0.012929460459494444,0.00991373797138562,0.0024586644313085992,0.0,0.0,0.0
Morocco,1,0.06819848127320843,-0.09886673932559226,-0.02403591649687719,0.0,0.0,0.0
Mozambique,1,-0.1915698340999868,-0.0613951521168678,-0.01593221155572774,0.0,0.0,0.0
Myanmar,1,-0.08778783558141556,0.12299743573093008,0.03108110678863946,0.0,1.0,1.0
