INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value,val_std,mu,sd,z
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,PSE,West Bank and Gaza,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,true,2020,412.3177490234375,6.024216665244606,6.038967468894472,0.14863525656586127,-0.09924161999431037
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SYC,Seychelles,Harmonized Test Scores,Sub-Saharan Africa,High income,IBRD,true,2020,463.3793334960938,6.140701747317782,6.038967468894472,0.14863525656586127,0.6844559007992198
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,THA,Thailand,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IBRD,true,2020,426.5999755859375,6.058188122055326,6.038967468894472,0.14863525656586127,0.1293142260116279
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGR,Bulgaria,Harmonized Test Scores,Europe & Central Asia,High income,IBRD,true,2020,441.0933227539063,6.0915209972436,6.038967468894472,0.14863525656586127,0.35357377222167213
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BHR,Bahrain,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,451.7059936523438,6.115242894142966,6.038967468894472,0.14863525656586127,0.5131718208101987
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BWA,Botswana,Harmonized Test Scores,Sub-Saharan Africa,Upper middle income,IBRD,true,2020,391.3182983398438,5.972073495869357,6.038967468894472,0.14863525656586127,-0.4500545467519939
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FRA,France,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,510.2605895996094,6.236879420295767,6.038967468894472,0.14863525656586127,1.3315276333081776
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,GUY,Guyana,Harmonized Test Scores,Latin America & Caribbean,High income,IDA,true,2020,346.3659057617188,5.850378707832869,6.038967468894472,0.14863525656586127,-1.2688023381453803
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HUN,Hungary,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,495.4812316894531,6.207545681541041,6.038967468894472,0.14863525656586127,1.1341737925541966
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KEN,Kenya,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,Blend,true,2020,454.9584045410156,6.122401587241953,6.038967468894472,0.14863525656586127,0.561334640752011
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MOZ,Mozambique,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,368.2435913085938,5.911456565292271,6.038967468894472,0.14863525656586127,-0.8578779123356923
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MWI,Malawi,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,359.4840698242188,5.887447766634125,6.038967468894472,0.14863525656586127,-1.019406201201044
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,NLD,Netherlands,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,519.6346435546875,6.2550485357837715,6.038967468894472,0.14863525656586127,1.4537672412436846
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,SLE,Sierra Leone,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,315.8759460449219,5.7585103598870955,6.038967468894472,0.14863525656586127,-1.8868814538837508
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BGD,Bangladesh,Harmonized Test Scores,South Asia,Lower middle income,IDA,true,2020,368.3152770996094,5.911650688724558,6.038967468894472,0.14863525656586127,-0.8565718734000306
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,BLR,Belarus,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,488.1430969238281,6.192655078412623,6.038967468894472,0.14863525656586127,1.0339916186039695
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,COD,"Congo, Dem. Rep.",Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,310.1971435546875,5.740426613453266,6.038967468894472,0.14863525656586127,-2.008546709164662
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,FJI,Fiji,Harmonized Test Scores,East Asia & Pacific,Upper middle income,Blend,true,2020,383.3359680175781,5.95151708678364,6.038967468894472,0.14863525656586127,-0.5883555768081343
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KAZ,Kazakhstan,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,416.1546325683594,6.033456974568356,6.038967468894472,0.14863525656586127,-0.03707393826628496
