INDICATOR,name,SEX,URBANIZATION,AGE,COMP_BREAKDOWN_1,INDICATOR_ROOT,UNIT_MEASURE,UNIT_TYPE,INDICATOR_ROOT_NAME,economy,Country name,Indicator name,Region,Income group,Lending category,is_valid,Year,Value,val_std,mu,sd,z
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,HUN,Hungary,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,495.4812316894531,6.207545681541041,6.0389674688944694,0.14863525656586127,1.1341737925542144
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,IDN,Indonesia,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IBRD,true,2020,394.9151000976563,5.981199794576081,6.0389674688944694,0.14863525656586127,-0.3886539146436738
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,IND,India,Harmonized Test Scores,South Asia,Lower middle income,IBRD,true,2020,399.0,5.991464547107982,6.0389674688944694,0.14863525656586127,-0.31959390311570446
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,IRL,Ireland,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,521.3285522460938,6.258296800320098,6.0389674688944694,0.14863525656586127,1.4756211715384102
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,ISL,Iceland,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,497.6827697753906,6.211970161675255,6.0389674688944694,0.14863525656586127,1.1639411589007975
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,JAM,Jamaica,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,387.1329956054688,5.961348053069354,6.0389674688944694,0.14863525656586127,-0.5222140265941643
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,JOR,Jordan,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2020,429.9540710449219,6.066001520724556,6.0389674688944694,0.14863525656586127,0.1818818257168176
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,JPN,Japan,Harmonized Test Scores,East Asia & Pacific,High income,,true,2020,537.7234497070312,6.2892023589173425,6.0389674688944694,0.14863525656586127,1.6835500257773113
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KAZ,Kazakhstan,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,416.1546325683594,6.033456974568356,6.0389674688944694,0.14863525656586127,-0.03707393826626703
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KEN,Kenya,Harmonized Test Scores,Sub-Saharan Africa,Lower middle income,Blend,true,2020,454.9584045410156,6.122401587241953,6.0389674688944694,0.14863525656586127,0.5613346407520289
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KHM,Cambodia,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,451.8895874023438,6.115648359355818,6.0389674688944694,0.14863525656586127,0.5158997416428647
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KIR,Kiribati,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,411.4844970703125,6.0221986222086334,6.0389674688944694,0.14863525656586127,-0.11281876906779258
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KNA,St. Kitts and Nevis,Harmonized Test Scores,Latin America & Caribbean,High income,IBRD,true,2020,409.074462890625,6.0163387600144205,6.0389674688944694,0.14863525656586127,-0.15224321202703373
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,KWT,Kuwait,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",High income,,true,2020,383.4022216796875,5.9516894566832015,6.0389674688944694,0.14863525656586127,-0.5871958930053348
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LAO,Lao PDR,Harmonized Test Scores,East Asia & Pacific,Lower middle income,IDA,true,2020,368.14208984375,5.911181637248366,6.0389674688944694,0.14863525656586127,-0.8597275949093586
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LBN,Lebanon,Harmonized Test Scores,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,true,2020,389.8890380859375,5.968423729647805,6.0389674688944694,0.14863525656586127,-0.4746097317456183
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LBR,Liberia,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,331.7459411621094,5.8073792593409,6.0389674688944694,0.14863525656586127,-1.5580974185014524
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LCA,St. Lucia,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,Blend,true,2020,417.7606506347656,6.037299517167508,6.0389674688944694,0.14863525656586127,-0.011221777157712692
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LKA,Sri Lanka,Harmonized Test Scores,South Asia,Lower middle income,IDA,true,2020,400.0,5.993961427306569,6.0389674688944694,0.14863525656586127,-0.3027951956200758
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,LUX,Luxembourg,Harmonized Test Scores,Europe & Central Asia,High income,,true,2020,492.8478393554688,6.202227452241738,6.0389674688944694,0.14863525656586127,1.098393390096696
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MDG,Madagascar,Harmonized Test Scores,Sub-Saharan Africa,Low income,IDA,true,2020,350.7733154296875,5.862986977890733,6.0389674688944694,0.14863525656586127,-1.1839754246043115
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MEX,Mexico,Harmonized Test Scores,Latin America & Caribbean,Upper middle income,IBRD,true,2020,430.0651245117188,6.066259179644413,6.0389674688944694,0.14863525656586127,0.18361532371594597
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MHL,Marshall Islands,Harmonized Test Scores,East Asia & Pacific,Upper middle income,IDA,true,2020,375.0296936035156,5.929668112621519,6.0389674688944694,0.14863525656586127,-0.7353528281126185
HD.HCI.HLOS,Harmonized Test Scores,_T,_T,_T,_Z,HD.HCI.HLOS,NUMBER,NUMBER,Harmonized Test Scores,MKD,North Macedonia,Harmonized Test Scores,Europe & Central Asia,Upper middle income,IBRD,true,2020,413.6173095703125,6.027355949179163,6.0389674688944694,0.14863525656586127,-0.0781208979860136
