economy,Country name,Region,Income group,Lending category,EII_z,k_fin,OUTCOME_z,k_out,EII_pos,Efficiency
KIR,Kiribati,East Asia & Pacific,Lower middle income,IDA,-0.8519258633349469,29,-0.1003800355514657,7,3.1931675008863696,-0.03143588162024131
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,0.7670988158131031,68,1.365575299734116,7,4.812192180034419,0.28377405736201267
CHE,Switzerland,Europe & Central Asia,High income,,0.5803989624097456,110,1.0501935139737468,7,4.625492326631062,0.2270446992047323
HND,Honduras,Latin America & Caribbean,Lower middle income,IDA,-0.5483171372421053,105,-0.4045738679873662,7,3.496776226979211,-0.11569910160847462
MWI,Malawi,Sub-Saharan Africa,Low income,IDA,-0.44152355922621367,97,-1.1429737754811555,6,3.603569804995103,-0.31717819754644905
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Blend,-0.6136205065478386,110,0.12039889614872314,7,3.4314728576734774,0.03508665262483033
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,0.1368001861921685,28,0.013909158227664685,7,4.181893550413484,0.0033260431094161683
BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,0.4121479830199564,99,-0.05667380805256671,5,4.457241347241273,-0.012714996482666103
CAN,Canada,North America,High income,,0.4197383903225071,71,1.3321475730729582,7,4.464831754543823,0.298364562498294
ERI,Eritrea,Sub-Saharan Africa,Low income,IDA,-0.5623674415549254,68,-0.2028564888435849,1,3.4827259226663907,-0.058246469388632524
MDG,Madagascar,Sub-Saharan Africa,Low income,IDA,-0.3303603530646486,105,-1.0896088946282925,7,3.7147330111566674,-0.293320917373014
SWE,Sweden,Europe & Central Asia,High income,,0.7355920808557594,102,1.1427330089218644,7,4.780685445077076,0.2390312063092536
AND,Andorra,Europe & Central Asia,High income,,-0.29977668732147433,83,-0.2028564888435849,1,3.745316676899842,-0.054162706746468725
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,1.614128868959949,80,0.00630767935452197,7,5.659222233181265,0.0011145841415342657
LBR,Liberia,Sub-Saharan Africa,Low income,IDA,-0.6467827845870022,61,-2.3732863605450603,6,3.3983105796343143,-0.6983724132714335
